run_key,primary_command,count,run_label,experiment,harness,harness_short,agent,model,mode,audit_id,total_calls,unique_commands,mutation_share,nonzero_exit_share,top_intent,top_primary_command
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch,write_stdin,1,codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,runs/openrouter-v1,codex,codex,codex,openrouter__owl-alpha-377195ae,patch,2023-12-ethereumcreditguild,90,89,0.2222222222222222,0.05555555555555555,code_or_file_inspection,sed
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch,180,1,codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,runs/openrouter-v1,codex,codex,codex,openrouter__owl-alpha-377195ae,patch,2023-12-ethereumcreditguild,90,89,0.2222222222222222,0.05555555555555555,code_or_file_inspection,sed
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas/2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch,ls,1,codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,runs/openrouter-v1,codex,codex,codex,openrouter__owl-alpha-377195ae,patch,2024-05-olas,82,82,0.0,0.0,code_or_file_inspection,sed
runs/phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug/2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect,forge,1,phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,101,52,0.0891089108910891,0.0,code_or_file_inspection,cat
runs/phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug/2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect,wc,1,phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,101,52,0.0891089108910891,0.0,code_or_file_inspection,cat
runs/phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug/2026-05-05T15-29-29-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-2trees-debug_detect,python3,1,phase6/qwen-vllm-2tree-canto-2026-05-05/modal-forest-qwen-vllm-2trees-debug,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,101,52,0.0891089108910891,0.0,code_or_file_inspection,cat
runs/phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug/2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect,python3,1,phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,193,76,0.03626943005181347,0.0051813471502590676,code_or_file_inspection,cat
mini-swe-agent-modal-forest-qwen-vllm-4trees-debug,uv,1,mini-swe-agent-modal-forest-qwen-vllm-4trees-debug,runs/phase6,mini-swe-agent-modal-forest-qwen-vllm-4trees-debug,mini-swe,mini-swe-agent-modal-forest-qwen-vllm-4trees-debug,unknown,detect,2026-05-04,1,1,0.0,1.0,run_orchestration,uv
chatcmpl-tool-943d723040ac1a67,cat,1,chatcmpl-tool-943d723040ac1a67,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,1,1,0.0,0.0,code_or_file_inspection,cat
chatcmpl-tool-b8659f8decfc4960,cat,1,chatcmpl-tool-b8659f8decfc4960,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,1,1,0.0,0.0,code_or_file_inspection,cat
chatcmpl-tool-a0c70566c5612aa6,cat,1,chatcmpl-tool-a0c70566c5612aa6,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,1,1,0.0,0.0,code_or_file_inspection,cat
chatcmpl-tool-bbd5ac31dba6f54d,ls,1,chatcmpl-tool-bbd5ac31dba6f54d,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,1,1,0.0,0.0,code_or_file_inspection,ls
chatcmpl-tool-9ee5dd4a889f6516,cat,1,chatcmpl-tool-9ee5dd4a889f6516,runs/phase6,mini-swe-agent-forest,mini-swe,mini-swe-agent-forest,unknown,detect,2024-01-canto,1,1,0.0,0.0,code_or_file_inspection,cat
