run_key,primary_command,count
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-06-panoptic/2026-05-12T15-45-09-GMT_run-group_codex-openrouter-v1_exploit,nl,5
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole/2026-05-15T13-37-57-GMT_run-group_codex-openrouter-v1_exploit,rg,4
runs/openrouter-v1/openai-gpt-5.4-opencode-panoptic-rerun-20260513T122729Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic/2026-05-13T12-58-20-GMT_run-group_opencode-openrouter-v1_patch,python3,4
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-06-panoptic/2026-05-12T15-45-09-GMT_run-group_codex-openrouter-v1_exploit,sed,4
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch,git,4
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas/2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch,find,4
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect,sed,3
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T14-09-18-GMT_run-group_opencode-openrouter-v1_detect,ls,3
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole/2026-05-15T15-04-53-GMT_run-group_opencode-openrouter-v1_exploit,echo,3
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T14-39-40-GMT_run-group_opencode-openrouter-v1_patch,npx,3
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2024-05-loop/2026-05-13T17-26-53-GMT_run-group_opencode-openrouter-v1_detect,gh,3
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild/2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch,apply_patch,3
runs/phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug/2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect,sed,3
runs/phase6/vllm-4trees-2026-05-04/modal-forest-qwen-vllm-4trees-debug/2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect,find,3
codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,uv,2
codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,uv,2
codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,uv,2
opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,uv,2
opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,uv,2
opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,uv,2
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect,cat,2
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole/2026-05-15T13-37-57-GMT_run-group_codex-openrouter-v1_exploit,echo,2
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T13-35-46-GMT_run-group_codex-openrouter-v1_patch,bash,2
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T13-35-46-GMT_run-group_codex-openrouter-v1_patch,rg,2
